state_scid,school_name,district,county,locale,charter,magnet,title_1,num_students,pct_erw_benchmark_met_12,pct_math_benchmark_met_12,pct_erw_benchmark_met_11,pct_math_benchmark_met_11,pct_both_benchmarks_met_12,pct_both_benchmarks_11,free_reduced_lunch,sat_participation_rate
30739243033917.0,Los Alamitos High,Los Alamitos Unified,Orange County,Suburb: Large,No,No,No,3160.0,91.54,73.35,94.69,81.56,71.16,80.73,0.175,0.44598155467720685
19734451935246.0,Los Altos High,Hacienda la Puente Unified,Los Angeles County,Suburb: Large,No,No,Yes,1723.0,46.34,27.75,47.38,25.39,25.39,22.51,0.644805571677307,0.9374233128834356
43696094334116.0,Los Altos High,Mountain View-Los Altos Union High,Santa Clara County,Suburb: Large,No,No,No,2253.0,88.65,75.14,93.85,87.99,74.05,86.59,0.16067465601420328,0.5046468401486989
30665223033933.0,Los Amigos High,Garden Grove Unified,Orange County,City: Small,No,No,Yes,1741.0,59.22,31.84,67.29,41.12,30.17,38.79,0.8541068351522114,0.4729241877256318
19647331932847.0,Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles County,City: Large,No,Yes,Yes,1670.0,83.9,72.03,91.90,78.1,69.49,77.62,0.5101796407185629,0.7540229885057471
19647330117747.0,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles County,City: Large,No,No,Yes,426.0,43.75,20.83,28.09,11.24,20.83,8.99,0.8990610328638498,0.631336405529954
19647331935352.0,Los Angeles Senior High,Los Angeles Unified,Los Angeles County,City: Large,No,Yes,Yes,1176.0,35.81,20.52,34.05,10.78,18.34,9.91,0.8443877551020408,0.8714555765595463
24657552434207.0,Los Banos High,Los Banos Unified,Merced County,Town: Distant,No,No,Yes,1473.0,65.26,37.89,68.75,38.75,35.79,33.75,0.670061099796334,0.2883031301482702
43695344334371.0,Los Gatos High,Los Gatos-Saratoga Union High,Santa Clara County,Suburb: Large,No,No,–,2166.0,97.06,89.71,99.15,95.18,89.22,94.9,0.04709141274238227,0.5279620853080569
36676523631058.0,Los Osos High,Chaffey Joint Union High,San Bernardino County,Suburb: Large,No,No,No,2970.0,85.01,66.21,92.82,81.54,63.76,79.49,0.3269360269360269,0.505003335557038
38684783833407.0,Lowell High,San Francisco Unified,San Francisco County,City: Large,No,No,No,2871.0,98.11,91.25,99.12,96.64,91.02,96.11,0.3277603622431209,0.7113030957523399
